gene	Symbol	Alias	Name	Huh7	PLC	Fold_change
314.1	AOC2	['DAO2', 'RAO', 'SSAO']	amine oxidase copper containing 2	56.974999999999994	42.32	0.7427819218955684
314.2	AOC2	['DAO2', 'RAO', 'SSAO']	amine oxidase copper containing 2	56.974999999999994	42.32	0.7427819218955684
26.1	AOC1	['ABP', 'ABP1', 'DAO', 'DAO1', 'KAO']	amine oxidase copper containing 1	26.66	24.28	0.9107276819204801
8639.1	AOC3	['HPAO', 'SSAO', 'VAP-1', 'VAP1']	amine oxidase copper containing 3	33.605000000000004	45.87	1.3649754500818327
1591.1	CYP24A1	['CP24', 'CYP24', 'HCAI', 'HCINF1', 'P450-CC24']	cytochrome P450 family 24 subfamily A member 1	12.975000000000001	614.13	47.33179190751444
1594.1	CYP27B1	['CP2B', 'CYP1', 'CYP1alpha', 'CYP27B', 'P450c1', 'PDDR', 'VDD1', 'VDDR', 'VDDRI', 'VDR']	cytochrome P450 family 27 subfamily B member 1	93.435	105.25	1.1264515438540161
10993.1	SDS	SDH	serine dehydratase	75.035	101.62	1.3543013260478445
6818.1	SULT1A3	['HAST', 'HAST3', 'M-PST', 'ST1A3', 'ST1A3/ST1A4', 'ST1A4', 'ST1A5', 'STM', 'TL-PST']	sulfotransferase family 1A member 3	17484.39	22311.5	
89874.1	SLC25A21	['ODC', 'ODC1']	solute carrier family 25 member 21	11.04	32.12	2.9094202898550723
3948.2	LDHC	['CT32', 'LDH3', 'LDHX']	lactate dehydrogenase C	61.885	51.26	0.8283105760685142
55293.1	UEVLD	['ATTP', 'UEV3']	UEV and lactate/malate dehyrogenase domains	153.125	225.35	1.4716734693877551
3939.1	LDHA	['GSD11', 'HEL-S-133P', 'LDHM', 'PIG19']	lactate dehydrogenase A	17484.39	22311.5	
3948.1	LDHC	['CT32', 'LDH3', 'LDHX']	lactate dehydrogenase C	61.885	51.26	0.8283105760685142
3945.1	LDHB	['HEL-S-281', 'LDH-B', 'LDH-H', 'LDHBD', 'TRG-5']	lactate dehydrogenase B	70.18	12734.9	181.46053006554573
92483.1	LDHAL6B	['LDH6B', 'LDHAL6', 'LDHL']	lactate dehydrogenase A like 6B	16.795	17.14	1.0205418279249776
160287.1	LDHAL6A	LDH6A	lactate dehydrogenase A like 6A	21.04	15.75	0.748574144486692
9123.1	SLC16A3	['MCT 3', 'MCT 4', 'MCT-3', 'MCT-4', 'MCT3', 'MCT4']	solute carrier family 16 member 3	275.185	82.98	0.3015425986154769
6566.1	SLC16A1	['HHF7', 'MCT', 'MCT1', 'MCT1D']	solute carrier family 16 member 1	439.6	200.95	0.4571201091901728
9194.1	SLC16A7	MCT2	solute carrier family 16 member 7	454.60499999999996	40.58	0.08926430637586477
57835.4	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	38.230000000000004	38.21	0.9994768506408579
57835.1	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	38.230000000000004	38.21	0.9994768506408579
57835.2	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	38.230000000000004	38.21	0.9994768506408579
57835.3	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	38.230000000000004	38.21	0.9994768506408579
8671.1	SLC4A4	['HNBC1', 'KNBC', 'NBC1', 'NBC2', 'NBCe1-A', 'SLC4A5', 'hhNMC', 'kNBC1', 'pNBC']	solute carrier family 4 member 4	98.575	104.17	1.0567588130864825
1738.1	DLD	['DLDD', 'DLDH', 'E3', 'GCSL', 'LAD', 'PHE3']	dihydrolipoamide dehydrogenase	456.185	469.83	1.0299111106239793
8050.1	PDHX	['DLDBP', 'E3BP', 'OPDX', 'PDHXD', 'PDX1', 'proX']	pyruvate dehydrogenase complex component X	608.585	558.61	0.9178832866403214
4967.1	OGDH	['AKGDH', 'E1k', 'OGDC']	oxoglutarate dehydrogenase	101.32	146.43	1.4452230556652192
1743.1	DLST	DLTS	dihydrolipoamide S-succinyltransferase	264.76	252.48	0.9536183713551896
4967.2	OGDH	['AKGDH', 'E1k', 'OGDC']	oxoglutarate dehydrogenase	101.32	146.43	1.4452230556652192
125.1	ADH1B	['ADH2', 'HEL-S-117']	alcohol dehydrogenase 1B (class I), beta polypeptide	30.0	21.08	0.7026666666666667
124.1	ADH1A	ADH1	alcohol dehydrogenase 1A (class I), alpha polypeptide	35.47	61.21	1.7256836763462082
127.1	ADH4	['ADH-2', 'HEL-S-4']	alcohol dehydrogenase 4 (class II), pi polypeptide	15.58	15.39	0.9878048780487805
131.1	ADH7	ADH4	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	31.67	22.47	0.7095042627091884
128.1	ADH5	['ADH-3', 'ADHX', 'FALDH', 'FDH', 'GSH-FDH', 'GSNOR', 'HEL-S-60p']	alcohol dehydrogenase 5 (class III), chi polypeptide	1611.27	842.42	0.5228298174731734
130.1	ADH6	ADH-5	alcohol dehydrogenase 6 (class V)	108.805	49.26	0.45273654703368404
137872.1	ADHFE1	['ADH8', 'HMFT2263', 'HOT']	alcohol dehydrogenase iron containing 1	128.4	264.07	2.056619937694704
126.1	ADH1C	ADH3	alcohol dehydrogenase 1C (class I), gamma polypeptide	17.04	22.97	1.3480046948356808
1312.1	COMT	HEL-S-98n	catechol-O-methyltransferase	381.495	753.41	1.974888268522523
1312.2	COMT	HEL-S-98n	catechol-O-methyltransferase	381.495	753.41	1.974888268522523
117247.1	SLC16A10	['MCT10', 'PRO0813', 'TAT1']	solute carrier family 16 member 10	182.08999999999997	200.24	1.0996759844033173
222.1	ALDH3B2	ALDH8	aldehyde dehydrogenase 3 family member B2	15.035	21.15	1.4067176587961423
220.1	ALDH1A3	['ALDH1A6', 'ALDH6', 'MCOP8', 'RALDH3']	aldehyde dehydrogenase 1 family member A3	44.68	66.16	1.4807520143240822
221.1	ALDH3B1	['ALDH4', 'ALDH7']	aldehyde dehydrogenase 3 family member B1	76.69	120.08	1.5657843265093232
218.1	ALDH3A1	['ALDH3', 'ALDHIII']	aldehyde dehydrogenase 3 family member A1	29.43	49.43	1.6795786612300374
3242.1	HPD	['4-HPPD', '4HPPD', 'GLOD3', 'HPPDASE', 'PPD']	4-hydroxyphenylpyruvate dioxygenase	67.15	21.11	0.3143708116157855
18.1	ABAT	['GABA-AT', 'GABAT', 'NPD009']	4-aminobutyrate aminotransferase	164.76999999999998	49.98	0.3033319172179402
18.2	ABAT	['GABA-AT', 'GABAT', 'NPD009']	4-aminobutyrate aminotransferase	164.76999999999998	49.98	0.3033319172179402
2531.1	KDSR	['DHSR', 'EKVP4', 'FVT1', 'SDR35C1']	3-ketodihydrosphingosine reductase	43.495	58.12	1.336245545464996
23498.1	HAAO	['3-HAO', 'HAO', 'VCRL1', 'h3HAO']	3-hydroxyanthranilate 3,4-dioxygenase	170.28	99.83	0.5862696734789757
55268.1	ECHDC2		enoyl-CoA hydratase domain containing 2	471.525	458.63	0.9726525634908012
883.1	KYAT1	['CCBL1', 'GTK', 'KAT1', 'KATI']	kynurenine aminotransferase 1	281.91999999999996	123.64	0.4385641316685585
51166.1	AADAT	['KAT2', 'KATII', 'KYAT2']	aminoadipate aminotransferase	107.335	79.55	0.7411375599757768
51166.2	AADAT	['KAT2', 'KATII', 'KYAT2']	aminoadipate aminotransferase	107.335	79.55	0.7411375599757768
1644.1	DDC	AADC	dopa decarboxylase	2638.1099999999997	59.4	0.02251611949463821
4129.1	MAOB		monoamine oxidase B	1302.595	107.83	0.08278091041344393
4128.1	MAOA	['BRNRS', 'MAO-A']	monoamine oxidase A	218.22500000000002	195.12	0.8941230381486996
10165.1	SLC25A13	['ARALAR2', 'CITRIN', 'CTLN2']	solute carrier family 25 member 13	488.565	519.22	1.0627449776385947
8604.1	SLC25A12	['AGC1', 'ARALAR', 'EIEE39']	solute carrier family 25 member 12	41.105000000000004	133.26	3.2419413696630577
2571.2	GAD1	['CPSQ1', 'GAD', 'SCP']	glutamate decarboxylase 1	27.77	140.93	5.0749009722722365
